"","Establishment.ID","Inspection.ID","Establishment.Name","Severity","Latitude","Longitude"
"1",1222579,105021821,"SAI-LILA KHAMAN DHOKLA HOUSE","C",43.76798,-79.22903
"2",1222807,105324376,"PHO BO TO","M",43.70463,-79.49224
"3",1223056,105008887,"PIZZA PIZZA","NA",43.60531,-79.54729
"4",9000004,104981919,"PAPINO'S PIZZA","C",43.7063,-79.50502
"5",9000031,105237382,"2-4-1 PIZZA","S",43.67153,-79.49335
"6",9000046,104989099,"2-4-1 PIZZA","M",43.64059,-79.43665
"7",9000072,105015495,"TIM HORTONS","NA",43.67203,-79.38093
"8",9000074,104689237,"OMNI KING EDWARD -BANQUET KITCHEN","M",43.64938,-79.3762
"9",9000097,105026860,"30 UP CLUB","NA",43.62153,-79.5179
"10",9000107,105137707,"STUDIO 123 EARLY LEARNING CENTRE","NA",43.64766,-79.39475
"11",9000116,105142608,"521 CAFE","NA",43.67804,-79.34821
"12",9000144,105195923,"7 WEST CAFE","S",43.6685,-79.38669
"13",9000174,105136220,"A & A CHILD CARE CENTRE","NA",43.8093,-79.29035
"14",9000191,105054316,"METRO DISTRIBUTION CENTRE","M",43.62509,-79.56145
"15",9000198,105126216,"A & W","NA",43.63279,-79.55468
"16",9000200,105046207,"A & W","M",43.70716,-79.39908
"17",9000239,105118243,"A.C. RANCH CAFFE","S",43.67785,-79.44478
"18",9000241,105054638,"FANTIS FOODS OF CANADA LTD.","NA",43.61348,-79.54028
"19",9000247,105040568,"A.R.K. MARKET","S",43.71858,-79.32959
"20",9000251,105015288,"A-1 DISCOUNT VARIETY","NA",43.61471,-79.48911
"21",9000263,105210375,"ABBIRAMI CATERING & TAKE-OUT","C",43.73529,-79.25231
"22",9000306,105231333,"ACROSS BOUNDARIES","S",43.69704,-79.46287
"23",9000316,105112041,"ADATH ISRAEL CONGREGATION","M",43.73855,-79.43123
"24",9000320,105147279,"ADEGA RESTAURANT","S",43.65733,-79.38327
"25",9000325,105431165,"RADISSON BLU - MAIN KITCHEN 3rd Fl","S",43.63882,-79.38561
"26",9000350,105286230,"AGINCOURT MONTESSORI SCHOOL","NA",43.78645,-79.27871
"27",9000353,105169939,"AGINCOURT TEMPLE CHILD CARE CENTRE","M",43.80345,-79.30939
"28",9000361,105021053,"AHMUTHA SURABI","M",43.75347,-79.2544
"29",9000372,105057001,"PINNACLE CATERERS NORTH","NA",43.64407,-79.37843
"30",9000373,105479340,"STAND 122 - ST. PATTIES BURGERS & POUTINE","S",43.64407,-79.37843
"31",9000375,105057102,"SCOTIABANK ARENA   STAND #4 - PIZZA PIZZA","NA",43.64407,-79.37843
"32",9000377,105057100,"SCOTIABANK ARENA  FOOD JUNCTION - #5","NA",43.64407,-79.37843
"33",9000378,105057027,"SCOTIABANK ARENA   STAND # 2 - TIM HORTONS","S",43.64407,-79.37843
